supplier_id,name,specialty,city,country,website,contact_email
SUP-001,Nordic Wood Industries,Wood,Stockholm,Sweden,www.nordicwood.se,info@nordicwood.se
SUP-002,Shanghai Metal Corp,Metal,Shanghai,China,www.shanghaimetal.com,sales@shanghaimetal.com
SUP-003,Bangalore Textiles Ltd,Fabric,Bangalore,India,www.bangaloretextiles.in,contact@bangaloretextiles.in
SUP-004,German Precision Fasteners,Fasteners,Munich,Germany,www.germanfasteners.de,info@germanfasteners.de
SUP-005,Brazilian Foam Solutions,Foam,São Paulo,Brazil,www.brazilfoam.com.br,sales@brazilfoam.com.br
SUP-011,Canadian Timber Products,Wood,Vancouver,Canada,www.canadiantimber.ca,sales@canadiantimber.ca
SUP-012,Korean Metal Works,Metal,Seoul,South Korea,www.koreanmetal.kr,info@koreanmetal.kr
SUP-013,Italian Textile Design,Fabric,Milan,Italy,www.italiantextile.it,design@italiantextile.it
SUP-014,Taiwan Precision Parts,Fasteners,Taipei,Taiwan,www.taiwanparts.tw,orders@taiwanparts.tw
SUP-015,UK Foam Manufacturers,Foam,Manchester,United Kingdom,www.ukfoam.co.uk,contact@ukfoam.co.uk
