part_id,part_name,supplier_id,supplier_name,lead_time_days,unit_cost,minimum_order_quantity,preferred_supplier
S-1092,Seat Base,SUP-011,Canadian Timber Products,12,$31.31,92,no
S-1092,Seat Base,SUP-001,nordic Wood Industries,20,$6.54,22,yes
S-1093,Foam Padding,SUP-005,Brazilian Foam Solutions,7,$7.43,100,yes
S-1093,Foam Padding,SUP-015,UK Foam Manufacturers,5,$40.06,45,no
S-1094,Fabric Cover,SUP-003,Bangalore Textiles Ltd,25,$1.61,33,yes
S-1094,Fabric Cover,SUP-013,Italian Textile Design,16,$8.64,63,no
S-1095,Mounting Brackets,SUP-002,Shanghai Metal Corp,15,$39.89,98,yes
S-1095,Mounting Brackets,SUP-012,Korean Metal Works,11,$9.71,54,no
S-1096,Screws,SUP-014,Taiwan Precision Parts,25,$29.43,89,no
S-1096,Screws,SUP-004,German Precision Fasteners,9,$5.74,16,yes
S-1107,Back Panel,SUP-001,nordic Wood Industries,11,$15.02,93,yes
S-1107,Back Panel,SUP-011,Canadian Timber Products,18,$44.02,60,no
S-1108,Foam Padding,SUP-005,Brazilian Foam Solutions,24,$14.41,50,yes
S-1108,Foam Padding,SUP-015,UK Foam Manufacturers,12,$11.09,32,no
S-1109,Fabric Cover,SUP-013,Italian Textile Design,17,$23.52,49,no
S-1109,Fabric Cover,SUP-003,Bangalore Textiles Ltd,5,$11.49,29,yes
S-1110,Support Frame,SUP-012,Korean Metal Works,11,$15.77,66,no
S-1110,Support Frame,SUP-002,Shanghai Metal Corp,20,$15.96,74,yes
S-1111,Screws,SUP-004,German Precision Fasteners,9,$41.81,34,yes
S-1111,Screws,SUP-014,Taiwan Precision Parts,30,$8.14,14,no
