sub_assembly_name,part_name,quantity,part_id,assembly_id
seat_subassembly,Seat Base,1,S-1092,A-1037
seat_subassembly,Foam Padding,1,S-1093,A-1037
seat_subassembly,Fabric Cover,1,S-1094,A-1037
seat_subassembly,Mounting Brackets,4,S-1095,A-1037
seat_subassembly,Screws,8,S-1096,A-1037
back_rest_subassembly,Back Panel,1,S-1107,A-1038
back_rest_subassembly,Foam Padding,1,S-1108,A-1038
back_rest_subassembly,Fabric Cover,1,S-1109,A-1038
back_rest_subassembly,Support Frame,1,S-1110,A-1038
back_rest_subassembly,Screws,6,S-1111,A-1038
